,Sr #,Parish,Code,Townland,1841 Male,1841 Female,1841 Inhabited,1841 Uninhabited,1851 Male,1851 Female,1851 Inhabited,1851 Uninhabited,1861 Male,1861 Female,1861 Inhabited,1861 Uninhabited,1871 Male,1871 Female,1871 Inhabited,1871 Uninhabited,1881 Male,1881 Female,1881 Inhabited,1881 Uninhabited,1891 Male,1891 Female,1891 Inhabited,1891 Uninhabited,Remarks
755,756,Killeek,260651.0,MOUNTAMBROSE GREAT,4.0,4.0,1.0,,5.0,7.0,2.0,,4.0,7.0,1.0,,4.0,4.0,1.0,,,,,,2.0,1.0,1.0,,
756,757,Killeek,260652.0,MOUNTAMBROSE LITTLE,13.0,7.0,3.0,,6.0,5.0,3.0,,9.0,8.0,3.0,,4.0,5.0,1.0,,5.0,5.0,2.0,,1.0,1.0,1.0,,
757,758,Killeek,,WESTEREAVE,13.0,7.0,3.0,1.0,16.0,13.0,4.0,,8.0,5.0,2.0,,11.0,8.0,2.0,,3.0,3.0,1.0,,1.0,7.0,1.0,,
758,759,Killeek,,TOTAL,104.0,81.0,24.0,2.0,91.0,71.0,26.0,,70.0,57.0,20.0,,67.0,52.0,18.0,,49.0,37.0,18.0,,34.0,27.0,18.0,1.0,
759,760,Killossery,,BALCULTRY,11.0,6.0,3.0,,9.0,5.0,2.0,,9.0,3.0,3.0,,,,,,,,,,,,,,
760,761,Killossery,260154.0,BOGGYHEARY,,,,,,,,,,,,,,,,,,,,,,,,,
761,762,Killossery,,BRAZIL,41.0,35.0,9.0,1.0,32.0,24.0,8.0,1.0,23.0,22.0,9.0,,28.0,24.0,11.0,,28.0,20.0,8.0,,24.0,20.0,10.0,2.0,
762,763,Killossery,,DRISHOGE,11.0,18.0,5.0,,16.0,8.0,4.0,,15.0,14.0,4.0,,10.0,11.0,4.0,,4.0,8.0,3.0,,6.0,7.0,3.0,,
763,764,Killossery,,KILLOSSERY,29.0,18.0,6.0,2.0,18.0,13.0,4.0,2.0,15.0,13.0,5.0,1.0,13.0,15.0,4.0,,9.0,11.0,4.0,1.0,8.0,16.0,4.0,,
764,765,Killossery,260583.0,LEAS,9.0,16.0,4.0,,8.0,6.0,3.0,,3.0,5.0,3.0,,3.0,4.0,2.0,1.0,3.0,5.0,2.0,,4.0,4.0,2.0,,
765,766,Killossery,260587.0,LISPOPPLE,42.0,33.0,13.0,,33.0,29.0,10.0,1.0,28.0,33.0,9.0,,28.0,27.0,7.0,,21.0,20.0,6.0,1.0,36.0,35.0,14.0,1.0,
766,767,Killossery,260659.0,MOUNTSTUART,1.0,1.0,1.0,,2.0,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,4.0,5.0,1.0,,1.0,2.0,1.0,,
767,768,Killossery,260753.0,RATH,16.0,20.0,6.0,,12.0,18.0,7.0,,7.0,8.0,3.0,,15.0,15.0,5.0,,16.0,9.0,5.0,,11.0,5.0,3.0,,
768,769,Killossery,260798.0,ROWLESTOWN EAST,6.0,7.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,6.0,5.0,2.0,,7.0,5.0,2.0,1.0,5.0,5.0,2.0,,
769,770,Killossery,260799.0,ROWLESTOWN WEST,21.0,18.0,6.0,,19.0,14.0,7.0,1.0,22.0,15.0,9.0,,27.0,15.0,7.0,,20.0,10.0,7.0,,10.0,12.0,7.0,,
770,771,Killossery,260814.0,SCATTERNAGH,6.0,9.0,1.0,,3.0,7.0,1.0,,3.0,2.0,1.0,,1.0,2.0,1.0,,2.0,3.0,1.0,,2.0,2.0,1.0,,
771,772,Killossery,,SURGALSTOWN NORTH,,,,,,,,,,,,,,,,,,,,,,,,,
772,773,Killossery,,SURGALSTOWN SOUTH,5.0,4.0,1.0,,4.0,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,
773,774,Killossery,,WARBLESTOWN,4.0,4.0,1.0,,2.0,2.0,1.0,,,,,1.0,5.0,7.0,1.0,1.0,4.0,6.0,2.0,,1.0,1.0,1.0,1.0,
774,775,Killossery,,TOTAL,202.0,189.0,58.0,5.0,163.0,132.0,51.0,7.0,132.0,119.0,50.0,3.0,138.0,127.0,46.0,2.0,118.0,102.0,41.0,3.0,114.0,109.0,48.0,4.0,Yellow highlited total are not clear
775,776,Kilsallaghan,,BALLYHACK,11.0,5.0,2.0,,2.0,4.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
776,777,Kilsallaghan,260211.0,CASTLEFARM (ED Kilsallaghan)  ,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,8.0,6.0,2.0,,4.0,4.0,1.0,2.0,
777,778,Kilsallaghan,260259.0,COMMON,5.0,9.0,2.0,,9.0,5.0,3.0,,1.0,5.0,1.0,,,,,,,,,,,,,,
778,779,Kilsallaghan,260275.0,COOLATRATH EAST,10.0,4.0,3.0,,11.0,7.0,2.0,,14.0,8.0,2.0,,4.0,3.0,1.0,,7.0,4.0,2.0,,6.0,2.0,2.0,,
779,780,Kilsallaghan,260276.0,COOLATRATH WEST,6.0,4.0,1.0,,5.0,3.0,1.0,,4.0,2.0,1.0,,10.0,3.0,2.0,,2.0,1.0,1.0,,1.0,,1.0,,
780,781,Kilsallaghan,260282.0,COOLQUOY,2.0,4.0,1.0,,10.0,4.0,1.0,,6.0,4.0,1.0,,4.0,3.0,1.0,,2.0,3.0,2.0,,6.0,5.0,2.0,,
781,782,Kilsallaghan,260283.0,COOLQUOY COMMON,97.0,67.0,29.0,,57.0,54.0,22.0,2.0,64.0,56.0,21.0,1.0,41.0,37.0,16.0,,43.0,34.0,15.0,,34.0,25.0,13.0,2.0,
782,783,Kilsallaghan,,CORRSTOWN,56.0,53.0,16.0,1.0,37.0,33.0,14.0,1.0,25.0,25.0,9.0,4.0,19.0,16.0,8.0,,21.0,20.0,9.0,,14.0,18.0,9.0,,
783,784,Kilsallaghan,260359.0,DUNMUCKY,7.0,4.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,,4.0,7.0,2.0,,4.0,1.0,1.0,2.0,
784,785,Kilsallaghan,260413.0,GLEBE,4.0,6.0,1.0,,5.0,8.0,2.0,,3.0,3.0,1.0,,2.0,6.0,1.0,,3.0,5.0,1.0,,4.0,4.0,1.0,,
785,786,Kilsallaghan,260519.0,KILCOSKAN,17.0,15.0,7.0,,16.0,9.0,3.0,1.0,20.0,15.0,7.0,,10.0,11.0,5.0,,8.0,9.0,5.0,2.0,16.0,11.0,6.0,,
786,787,Kilsallaghan,260536.0,KILMACREE,,1.0,1.0,,2.0,5.0,1.0,1.0,2.0,5.0,1.0,,,,,,,,,,,,,,
787,788,Kilsallaghan,260546.0,KILSALLAGHAN,46.0,38.0,16.0,,36.0,40.0,13.0,,29.0,36.0,9.0,1.0,19.0,24.0,7.0,,19.0,24.0,9.0,,12.0,27.0,9.0,,
788,789,Kilsallaghan,260670.0,NEWBARN,27.0,27.0,6.0,,26.0,29.0,6.0,2.0,16.0,20.0,6.0,,7.0,12.0,5.0,,2.0,3.0,1.0,2.0,7.0,10.0,3.0,,
789,790,Kilsallaghan,260825.0,SHALLON,4.0,4.0,2.0,,5.0,8.0,2.0,,6.0,4.0,2.0,,8.0,5.0,2.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,
790,791,Kilsallaghan,260875.0,THORNTOWN,9.0,5.0,2.0,,12.0,8.0,4.0,,11.0,15.0,7.0,,9.0,7.0,4.0,,6.0,7.0,4.0,,7.0,5.0,3.0,1.0,
791,792,Kilsallaghan,,TOTAL,302.0,246.0,92.0,2.0,238.0,220.0,77.0,10.0,205.0,201.0,71.0,7.0,137.0,131.0,55.0,,127.0,124.0,54.0,4.0,117.0,113.0,52.0,7.0,
792,793,Portraine,260051.0,BALLALEASE NORTH,19.0,14.0,4.0,,15.0,10.0,3.0,,16.0,11.0,5.0,,9.0,10.0,4.0,,10.0,9.0,5.0,,6.0,9.0,4.0,1.0,
793,794,Portraine,260052.0,BALLALEASE SOUTH,10.0,11.0,3.0,,6.0,5.0,3.0,,4.0,7.0,3.0,,4.0,3.0,2.0,,,,,,,,,,
794,795,Portraine,260053.0,BALLALEASE WEST,30.0,28.0,12.0,,15.0,15.0,6.0,,37.0,35.0,14.0,,34.0,38.0,15.0,,39.0,37.0,17.0,,30.0,24.0,15.0,4.0,
795,796,Portraine,260060.0,BALLISK,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,
796,797,Portraine,260061.0,BALLISK COMMON,29.0,29.0,14.0,1.0,4.0,9.0,3.0,,24.0,28.0,14.0,2.0,20.0,27.0,15.0,,5.0,4.0,3.0,,6.0,4.0,3.0,1.0,
797,798,Portraine,260094.0,BALLYMASTONE,,,,,,,,,,,,,,,,,6.0,3.0,2.0,1.0,,,,,
798,799,Portraine,260130.0,BEAVERSTOWN,60.0,83.0,28.0,3.0,13.0,15.0,5.0,1.0,18.0,10.0,3.0,,92.0,95.0,40.0,,110.0,102.0,50.0,1.0,39.0,29.0,14.0,,
799,800,Portraine,260188.0,BURROW,92.0,94.0,30.0,,117.0,116.0,42.0,,117.0,108.0,39.0,,88.0,91.0,37.0,,68.0,73.0,33.0,2.0,64.0,60.0,31.0,2.0,
800,801,Portraine,260952.0,LAMBAY ISLAND,44.0,45.0,12.0,2.0,42.0,33.0,15.0,6.0,36.0,35.0,14.0,4.0,50.0,38.0,17.0,,32.0,29.0,12.0,1.0,19.0,13.0,7.0,6.0,
801,802,Portraine,260733.0,PORTRAINE,40.0,50.0,10.0,,19.0,12.0,4.0,,18.0,11.0,4.0,,18.0,14.0,5.0,,20.0,15.0,5.0,,23.0,15.0,5.0,,
802,803,Portraine,,PORTRAINE DEMESNE,6.0,11.0,2.0,,8.0,5.0,2.0,,7.0,4.0,4.0,,1.0,2.0,1.0,,5.0,1.0,2.0,,6.0,3.0,3.0,2.0,
803,804,Portraine,260742.0,QUAY,13.0,10.0,4.0,,16.0,26.0,6.0,2.0,14.0,23.0,6.0,1.0,7.0,13.0,3.0,,7.0,8.0,3.0,,8.0,5.0,3.0,2.0,
804,805,Portraine,260747.0,RAHILLION,12.0,9.0,2.0,,19.0,8.0,2.0,1.0,12.0,12.0,3.0,,7.0,7.0,2.0,,5.0,6.0,2.0,,4.0,1.0,2.0,1.0,
805,806,Portraine,,BALHSK,,,,,86.0,106.0,43.0,1.0,,,,,,,,,,,,,60.0,58.0,33.0,3.0,
806,807,Portraine,,DONABATE,23.0,18.0,6.0,,55.0,53.0,16.0,3.0,81.0,87.0,38.0,1.0,,,,,,,,,,,,,
807,808,Portraine,,TOTAL,378.0,402.0,127.0,7.0,416.0,413.0,151.0,15.0,384.0,371.0,147.0,8.0,330.0,338.0,142.0,,307.0,287.0,134.0,5.0,265.0,221.0,120.0,22.0,
808,809,Swords,260042.0,BALDURGAN,22.0,15.0,5.0,,21.0,13.0,5.0,,17.0,10.0,4.0,,11.0,9.0,2.0,,12.0,7.0,2.0,,8.0,7.0,2.0,,
809,810,Swords,260048.0,BALHEARY,59.0,64.0,21.0,3.0,65.0,57.0,20.0,2.0,59.0,46.0,16.0,,43.0,35.0,13.0,,30.0,25.0,12.0,,31.0,30.0,13.0,1.0,
810,811,Swords,260049.0,BALHEARY DEMESNE,12.0,9.0,5.0,2.0,24.0,19.0,11.0,2.0,15.0,12.0,5.0,,7.0,10.0,4.0,,6.0,11.0,3.0,3.0,9.0,9.0,3.0,2.0,
811,812,Swords,260086.0,BALLYMADROUGH,54.0,43.0,19.0,3.0,39.0,24.0,12.0,4.0,20.0,17.0,10.0,4.0,21.0,23.0,10.0,,13.0,28.0,7.0,,9.0,7.0,4.0,2.0,
812,813,Swords,260125.0,BARRYSPARKS,,,,,,,,,2.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,
813,814,Swords,260141.0,BELINSTOWN,28.0,21.0,4.0,,16.0,14.0,4.0,1.0,19.0,17.0,6.0,,13.0,12.0,7.0,,10.0,15.0,5.0,,8.0,7.0,3.0,2.0,
814,815,Swords,260162.0,BRACKENSTOWN,33.0,39.0,10.0,,30.0,25.0,9.0,1.0,22.0,23.0,9.0,,24.0,23.0,9.0,,20.0,21.0,6.0,3.0,16.0,13.0,7.0,3.0,
815,816,Swords,260170.0,BROADMEADOW,13.0,9.0,2.0,,12.0,12.0,2.0,,7.0,10.0,2.0,,8.0,8.0,2.0,,7.0,9.0,2.0,,7.0,5.0,2.0,,
816,817,Swords,260181.0,BROWNSTOWN,18.0,18.0,5.0,,7.0,9.0,3.0,,4.0,1.0,1.0,,2.0,1.0,1.0,,3.0,2.0,1.0,,5.0,3.0,1.0,,
817,818,Swords,260212.0,CASTLEFARM,14.0,11.0,4.0,,10.0,8.0,3.0,,11.0,9.0,3.0,,11.0,8.0,3.0,,9.0,3.0,2.0,,5.0,4.0,2.0,,
818,819,Swords,260267.0,COMMONS EAST,64.0,55.0,27.0,1.0,42.0,35.0,18.0,,28.0,23.0,13.0,,33.0,23.0,12.0,,10.0,11.0,7.0,,6.0,7.0,5.0,1.0,
819,820,Swords,260272.0,COMMONS WEST,118.0,120.0,57.0,1.0,97.0,106.0,47.0,3.0,61.0,63.0,29.0,,59.0,52.0,29.0,,66.0,66.0,31.0,,57.0,54.0,27.0,5.0,
820,821,Swords,260274.0,COOKSTOWN,6.0,3.0,2.0,1.0,5.0,6.0,3.0,,2.0,4.0,2.0,,4.0,6.0,3.0,,3.0,3.0,1.0,,3.0,2.0,1.0,,
821,822,Swords,260309.0,CREMONA,1.0,3.0,1.0,,3.0,1.0,1.0,,7.0,12.0,2.0,,2.0,5.0,2.0,,6.0,7.0,1.0,1.0,6.0,5.0,2.0,,
822,823,Swords,260313.0,CROWSCASTLE,6.0,5.0,2.0,,3.0,3.0,2.0,,1.0,1.0,1.0,,2.0,2.0,1.0,,6.0,2.0,1.0,,2.0,3.0,1.0,,
823,824,Swords,260332.0,DEANESTOWN (ED Swords-Lissenhall),8.0,4.0,1.0,,2.0,1.0,1.0,,,,,,3.0,1.0,1.0,1.0,4.0,3.0,2.0,,5.0,3.0,2.0,,
824,825,Swords,260341.0,DOLLARDS,7.0,5.0,1.0,,7.0,4.0,1.0,,6.0,3.0,1.0,,13.0,8.0,3.0,,7.0,4.0,1.0,,2.0,1.0,1.0,,
825,826,Swords,260378.0,FORESTFIELDS,,,,,12.0,7.0,5.0,,,,,,,,,,,,,,,,,,
826,827,Swords,260379.0,FORREST GREAT,58.0,49.0,18.0,,71.0,68.0,26.0,,67.0,50.0,17.0,,46.0,36.0,19.0,,43.0,31.0,16.0,,32.0,29.0,13.0,1.0,
827,828,Swords,260380.0,FORREST LITTLE,44.0,52.0,19.0,,32.0,29.0,13.0,,29.0,39.0,17.0,,33.0,31.0,13.0,,23.0,20.0,10.0,,20.0,25.0,11.0,2.0,
828,829,Swords,260383.0,FOSTERSTOWN NORTH,18.0,12.0,5.0,,10.0,9.0,4.0,,16.0,20.0,7.0,,7.0,9.0,5.0,,7.0,12.0,6.0,,11.0,11.0,5.0,,
829,830,Swords,260384.0,FOSTERSTOWN SOUTH,9.0,10.0,2.0,,9.0,12.0,2.0,,8.0,8.0,2.0,,8.0,8.0,2.0,,4.0,2.0,2.0,,4.0,5.0,2.0,,
830,831,Swords,,GLEBE,,,,,,,,,,,,,,,,,,,,,,,,,
831,832,Swords,260446.0,GREENFIELDS,3.0,4.0,1.0,,2.0,2.0,1.0,,6.0,5.0,1.0,,7.0,5.0,1.0,,4.0,3.0,1.0,,,,1.0,,
832,833,Swords,260467.0,HILLTOWN,11.0,4.0,1.0,,3.0,2.0,1.0,,,,,,,,,,,,,1.0,2.0,3.0,,,
833,834,Swords,260474.0,HOLYBANKS,,,,,,,,,,,,,,,,,,,,,,,,,
834,835,Swords,260494.0,JAMESTOWN,4.0,2.0,1.0,,3.0,5.0,1.0,,,,,,1.0,1.0,1.0,,2.0,2.0,1.0,,3.0,1.0,1.0,,
835,836,Swords,260575.0,KNOCKSEDAN,19.0,18.0,6.0,,13.0,16.0,6.0,,13.0,15.0,6.0,,14.0,17.0,9.0,,15.0,19.0,6.0,,7.0,8.0,3.0,2.0,
836,837,Swords,260588.0,LISSENHALL GREAT,28.0,26.0,8.0,,13.0,18.0,5.0,1.0,21.0,22.0,8.0,,16.0,20.0,6.0,,14.0,24.0,6.0,,18.0,20.0,7.0,,
837,838,Swords,260589.0,LISSENHALL LITTLE,17.0,12.0,4.0,,9.0,6.0,5.0,,14.0,11.0,6.0,,17.0,17.0,7.0,,19.0,14.0,4.0,,16.0,9.0,4.0,1.0,
838,839,Swords,260612.0,MAGILLSTOWN,31.0,29.0,8.0,,25.0,14.0,6.0,1.0,33.0,26.0,12.0,,17.0,11.0,6.0,,22.0,12.0,6.0,,16.0,18.0,0.0,,
839,840,Swords,260618.0,MANTUA,6.0,3.0,2.0,,3.0,5.0,2.0,,1.0,4.0,2.0,,5.0,5.0,2.0,,7.0,5.0,2.0,,7.0,4.0,2.0,,
840,841,Swords,260620.0,MARSHALLSTOWN,4.0,3.0,1.0,,5.0,4.0,1.0,,7.0,4.0,1.0,,5.0,3.0,1.0,,6.0,3.0,1.0,,1.0,3.0,1.0,1.0,
841,842,Swords,260632.0,MILTONSFIELDS,40.0,47.0,18.0,1.0,51.0,73.0,30.0,,39.0,37.0,21.0,,55.0,54.0,28.0,,36.0,28.0,14.0,,,,,,
842,843,Swords,260646.0,MOORETOWN,3.0,3.0,2.0,,2.0,1.0,1.0,,3.0,3.0,2.0,,2.0,1.0,1.0,,3.0,1.0,1.0,,18.0,26.0,13.0,2.0,
843,844,Swords,260655.0,MOUNTGORRY,4.0,1.0,1.0,,2.0,4.0,2.0,,1.0,2.0,1.0,,3.0,2.0,2.0,,8.0,10.0,4.0,,1.0,2.0,1.0,,
844,845,Swords,260667.0,NEVINSTOWN EAST,4.0,2.0,1.0,,,,,,3.0,2.0,1.0,,2.0,2.0,1.0,,3.0,2.0,1.0,,6.0,8.0,4.0,,
845,846,Swords,260668.0,NEVINSTOWN WEST,6.0,6.0,3.0,,5.0,4.0,2.0,,4.0,2.0,1.0,,3.0,2.0,1.0,,2.0,2.0,1.0,,6.0,1.0,1.0,,
846,847,Swords,,NEWTOWN,26.0,38.0,10.0,,18.0,16.0,5.0,1.0,10.0,9.0,4.0,,14.0,8.0,5.0,,9.0,10.0,4.0,,,1.0,1.0,,
847,848,Swords,,OLDTOWN,6.0,7.0,3.0,,3.0,10.0,2.0,,5.0,10.0,2.0,,7.0,10.0,2.0,,6.0,7.0,2.0,,10.0,9.0,4.0,,
848,849,Swords,260712.0,OUTLANDS,,,,,4.0,5.0,1.0,,5.0,6.0,1.0,,4.0,6.0,1.0,,2.0,4.0,1.0,,3.0,4.0,2.0,,
849,850,Swords,260758.0,RATHBEAL,35.0,28.0,8.0,1.0,22.0,23.0,9.0,,22.0,17.0,8.0,,16.0,16.0,8.0,,20.0,17.0,7.0,1.0,3.0,3.0,1.0,,
850,851,Swords,260762.0,RATHINGLE,8.0,5.0,2.0,,1.0,2.0,1.0,,2.0,2.0,1.0,,3.0,2.0,1.0,,4.0,2.0,1.0,,27.0,23.0,7.0,,
851,852,Swords,260791.0,ROGANSTOWN,17.0,16.0,6.0,,8.0,7.0,2.0,1.0,6.0,9.0,3.0,,5.0,5.0,2.0,1.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,,
852,853,Swords,260812.0,SAUCERSTOWN,14.0,8.0,2.0,,12.0,8.0,3.0,,14.0,10.0,4.0,,12.0,13.0,4.0,,15.0,12.0,3.0,,7.0,5.0,4.0,,
853,854,Swords,,SEAPOINT,4.0,6.0,2.0,,5.0,7.0,2.0,,8.0,4.0,2.0,,,,,1.0,6.0,12.0,3.0,,6.0,8.0,2.0,1.0,
854,855,Swords,260819.0,SEATOWN EAST,14.0,5.0,2.0,,15.0,8.0,2.0,1.0,17.0,16.0,4.0,,9.0,12.0,2.0,,7.0,5.0,3.0,,8.0,5.0,2.0,3.0,
855,856,Swords,260820.0,SEATOWN WEST,2.0,8.0,1.0,,4.0,6.0,2.0,,1.0,2.0,1.0,,3.0,3.0,1.0,,,,,,8.0,8.0,3.0,1.0,
856,857,Swords,260834.0,SKIDOO,34.0,24.0,8.0,,26.0,22.0,7.0,,29.0,21.0,8.0,,23.0,15.0,8.0,,23.0,25.0,8.0,,,,8.0,,
857,858,Swords,260864.0,SWORDS DEMESNE,5.0,6.0,2.0,1.0,13.0,16.0,5.0,1.0,21.0,19.0,7.0,,16.0,9.0,4.0,,4.0,2.0,2.0,2.0,28.0,20.0,4.0,,
858,859,Swords,260865.0,SWORDS GLEBE,,,,,13.0,20.0,5.0,1.0,7.0,13.0,4.0,,10.0,8.0,2.0,,,,,,2.0,4.0,3.0,1.0,
859,860,Swords,260893.0,TOWNPARKS,,,,,,,,,,,,,71.0,85.0,36.0,2.0,,,,,6.0,11.0,,,
860,861,Swords,,TONLEGEE,13.0,6.0,3.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,5.0,,1.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,
861,862,Swords,260932.0,WINDMILL LANDS,18.0,13.0,5.0,,50.0,52.0,26.0,1.0,26.0,17.0,12.0,,34.0,22.0,16.0,,32.0,23.0,11.0,,19.0,16.0,9.0,1.0,
862,863,Swords,,SWORDS,849.0,939.0,348.0,10.0,628.0,666.0,256.0,31.0,631.0,665.0,278.0,,489.0,519.0,230.0,1.0,524.0,564.0,248.0,30.0,480.0,497.0,233.0,25.0,
863,864,Swords,,TOTAL,1817.0,1816.0,669.0,24.0,1476.0,1486.0,584.0,52.0,1351.0,1324.0,550.0,4.0,1218.0,1184.0,531.0,6.0,1088.0,1093.0,462.0,42.0,968.0,950.0,437.0,57.0,Yellow highlited total are not clear
864,865,Aderrig,260004.0,ADAMSTOWN,12.0,11.0,3.0,,9.0,6.0,2.0,,9.0,6.0,2.0,,5.0,4.0,1.0,,5.0,4.0,1.0,,2.0,2.0,1.0,,
865,866,Aderrig,260005.0,ADERRIG,8.0,7.0,2.0,,3.0,6.0,1.0,,6.0,4.0,2.0,,2.0,1.0,2.0,,5.0,6.0,3.0,,4.0,3.0,1.0,,
866,867,Aderrig,260024.0,BACKSTOWN,7.0,5.0,2.0,,9.0,9.0,2.0,,26.0,21.0,9.0,,7.0,8.0,2.0,,,,,,8.0,5.0,2.0,,
867,868,Aderrig,,BACKWESTONPARK,38.0,33.0,13.0,1.0,18.0,21.0,8.0,1.0,3.0,5.0,2.0,,13.0,16.0,4.0,,13.0,10.0,5.0,,18.0,26.0,9.0,,
868,869,Aderrig,260278.0,COOLDRINAGH,1.0,5.0,1.0,,10.0,9.0,3.0,1.0,12.0,42.0,13.0,,14.0,22.0,7.0,,17.0,20.0,7.0,,4.0,7.0,3.0,,
869,870,Aderrig,,TOTAL,66.0,61.0,21.0,1.0,49.0,51.0,16.0,2.0,56.0,78.0,28.0,,41.0,51.0,16.0,,40.0,40.0,16.0,,36.0,43.0,16.0,,
870,871,Clondalkin,260153.0,BLUNDELSTOWN,10.0,5.0,1.0,,3.0,2.0,1.0,,3.0,2.0,1.0,,1.0,3.0,1.0,,3.0,2.0,1.0,,2.0,1.0,1.0,,
871,872,Esker,260077.0,BALLYDOWD,135.0,114.0,45.0,,104.0,91.0,34.0,1.0,79.0,55.0,31.0,,58.0,66.0,33.0,,82.0,80.0,32.0,,78.0,80.0,30.0,1.0,
872,873,Esker,260102.0,BALLYOWEN,52.0,46.0,17.0,,48.0,35.0,18.0,2.0,19.0,20.0,9.0,,24.0,29.0,11.0,,21.0,21.0,8.0,,16.0,15.0,9.0,,
873,874,Esker,260365.0,ESKER NORTH,11.0,12.0,6.0,,8.0,6.0,2.0,2.0,10.0,16.0,4.0,2.0,15.0,16.0,5.0,1.0,8.0,8.0,4.0,,10.0,9.0,6.0,,
874,875,Esker,260366.0,ESKER SOUTH,133.0,128.0,48.0,,96.0,84.0,32.0,1.0,89.0,75.0,29.0,3.0,55.0,49.0,22.0,5.0,59.0,75.0,29.0,,56.0,52.0,23.0,1.0,
875,876,Esker,260372.0,FINNSTOWN,24.0,24.0,7.0,1.0,25.0,26.0,7.0,1.0,24.0,34.0,11.0,,26.0,26.0,10.0,,29.0,36.0,10.0,1.0,52.0,49.0,15.0,1.0,
876,877,Esker,260408.0,GLEBE,11.0,11.0,3.0,,8.0,12.0,3.0,,9.0,6.0,2.0,1.0,9.0,8.0,3.0,,8.0,4.0,2.0,,10.0,9.0,3.0,,
877,878,Esker,260465.0,HERMITAGE,6.0,7.0,3.0,,3.0,4.0,2.0,,4.0,2.0,2.0,1.0,10.0,6.0,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
878,879,Esker,260564.0,KISHOGE,25.0,25.0,9.0,,24.0,18.0,5.0,,19.0,15.0,6.0,,11.0,15.0,5.0,,16.0,8.0,3.0,,11.0,10.0,4.0,,
879,880,Esker,,ST EDMONDSBURY,18.0,18.0,6.0,,7.0,4.0,3.0,,13.0,5.0,4.0,,8.0,8.0,4.0,,,1.0,1.0,,8.0,12.0,3.0,1.0,
880,881,Esker,260943.0,WOODVILLE,15.0,23.0,4.0,,13.0,17.0,4.0,,11.0,14.0,4.0,,12.0,15.0,5.0,,7.0,12.0,4.0,,1.0,2.0,1.0,3.0,
881,882,Esker,,TOTAL,430.0,408.0,148.0,1.0,336.0,297.0,110.0,7.0,277.0,242.0,102.0,7.0,228.0,238.0,101.0,6.0,233.0,246.0,94.0,2.0,243.0,239.0,95.0,8.0,
882,883,Kilbride,260036.0,BALDONNELL LITTLE,3.0,7.0,1.0,,,,,,3.0,5.0,1.0,,,,,,,,,,,,,,
883,884,Kilbride,260037.0,BALDONNELL LOWER,,,,,3.0,5.0,1.0,,2.0,2.0,1.0,,5.0,10.0,2.0,1.0,15.0,16.0,4.0,,3.0,6.0,1.0,1.0,
884,885,Kilbride,260038.0,BALDONNELL UPPER,2.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,
885,886,Kilbride,260517.0,KILBRIDE,4.0,4.0,1.0,,4.0,8.0,1.0,,4.0,7.0,1.0,,3.0,6.0,1.0,,6.0,6.0,1.0,,3.0,4.0,1.0,,
886,887,Kilbride,260518.0,KILCARBERY,17.0,19.0,6.0,,13.0,14.0,6.0,,6.0,9.0,3.0,1.0,3.0,2.0,1.0,,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,
887,888,Kilbride,,TOTAL,26.0,37.0,9.0,,20.0,27.0,8.0,,15.0,23.0,6.0,1.0,11.0,18.0,4.0,1.0,22.0,24.0,6.0,1.0,10.0,14.0,3.0,2.0,
888,889,Kilmactalway,260023.0,AUNGIERSTOWN and BALLYBANE,23.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
889,890,Kilmactalway,260090.0,BALLYMAKAILY,10.0,8.0,3.0,,32.0,32.0,11.0,1.0,31.0,27.0,11.0,,27.0,26.0,10.0,1.0,13.0,18.0,7.0,1.0,21.0,21.0,7.0,,
890,891,Kilmactalway,260180.0,BROWNSTOWN,27.0,28.0,10.0,,4.0,3.0,1.0,,6.0,7.0,2.0,,3.0,4.0,1.0,,4.0,4.0,1.0,,6.0,3.0,1.0,,
891,892,Kilmactalway,260242.0,CLUTTERLAND,,,,,,,,1.0,,,,,3.0,2.0,1.0,,,1.0,1.0,,,,,,
892,893,Kilmactalway,260284.0,COOLSCUDDAN,,,,,,,,,,,,,,,,,,,,,,,,,
893,894,Kilmactalway,260432.0,GOLLIERSTOWN,31.0,32.0,12.0,,24.0,25.0,10.0,1.0,20.0,20.0,9.0,,24.0,19.0,8.0,,15.0,16.0,7.0,,12.0,17.0,7.0,,
